Date,Close,Open,High,Low,Volume,Change_pct
2021-01-05,3.0,2.8,3.0,2.67,1770.0,7.14
2021-01-06,3.0,3.0,3.0,3.0,2060.0,0.0
2021-01-08,3.0,2.99,3.0,2.99,240.0,0.0
2021-01-11,3.0,3.0,3.0,3.0,1600.0,0.0
2021-01-12,3.2,3.0,3.2,3.0,2990.0,6.67
2021-01-13,3.0,3.2,3.2,2.99,6240.0,-6.25
2021-01-14,3.08,3.05,3.12,2.9,14460.0,2.67
2021-01-15,3.2,3.06,3.2,2.99,49620.0,3.9
2021-01-18,3.2,3.2,3.2,2.9,5370.0,0.0
2021-01-19,3.2,3.2,3.2,3.19,5140.0,0.0
2021-01-20,3.25,3.2,3.25,3.2,13370.0,1.56
2021-01-21,3.2,3.25,3.25,3.2,470.0,-1.54
2021-01-22,3.24,3.21,3.24,3.21,1510.0,1.25
2021-01-25,3.4,3.25,3.4,3.24,5230.0,4.94
2021-01-26,3.9,3.4,4.0,3.4,12980.0,14.71
2021-01-27,3.66,3.88,3.88,3.4,4580.0,-6.15
2021-01-28,3.9,3.88,3.9,3.66,2420.0,6.56
2021-01-29,3.95,3.89,3.98,3.89,2600.0,1.28
2021-02-01,4.09,3.98,4.1,3.95,16020.0,3.54
2021-02-02,4.35,4.1,4.5,4.09,54220.0,6.36
2021-02-03,4.41,4.41,4.41,4.41,3030.0,1.38
2021-02-04,4.5,4.5,4.5,4.5,210.0,2.04
2021-02-05,4.5,4.5,4.5,4.5,300.0,0.0
2021-02-08,4.5,4.5,4.5,4.41,13330.0,0.0
2021-02-09,4.5,4.5,4.5,4.5,13280.0,0.0
2021-02-10,4.5,4.5,4.5,4.5,1210.0,0.0
2021-02-11,4.5,4.5,4.5,4.5,510.0,0.0
2021-02-12,4.5,4.5,4.5,4.5,6640.0,0.0
2021-02-15,4.5,4.5,4.5,4.5,0.0,0.0
2021-02-16,4.5,4.5,4.5,4.5,2800.0,0.0
2021-02-17,4.41,4.5,4.5,4.41,6110.0,-2.0
2021-02-18,4.5,4.5,4.5,4.5,4140.0,2.04
2021-02-19,4.5,4.5,4.5,4.5,560.0,0.0
2021-02-22,4.5,4.5,4.5,4.4,5640.0,0.0
2021-02-23,4.5,4.5,4.5,4.5,2810.0,0.0
2021-02-24,4.5,4.5,4.5,4.5,2360.0,0.0
2021-02-25,4.5,4.5,4.5,4.47,2260.0,0.0
2021-02-26,4.5,4.5,4.5,4.4,740.0,0.0
2021-03-01,4.5,4.5,4.5,4.5,850.0,0.0
2021-03-02,4.5,4.5,4.5,4.5,1740.0,0.0
2021-03-03,4.49,4.5,4.5,4.49,1800.0,-0.22
2021-03-04,4.48,4.49,4.49,4.3,10960.0,-0.22
2021-03-05,4.49,4.48,4.49,4.43,3060.0,0.22
2021-03-09,4.48,4.49,4.49,4.41,4720.0,-0.22
2021-03-10,4.49,4.48,4.49,4.47,1250.0,0.22
2021-03-11,4.5,4.49,4.5,4.42,32119.999999999996,0.22
2021-03-12,4.5,4.5,4.5,4.49,9190.0,0.0
2021-03-15,4.48,4.5,4.5,4.48,3050.0,-0.44
2021-03-16,4.49,4.48,4.49,4.48,1390.0,0.22
2021-03-17,4.47,4.49,4.5,4.47,1910.0,-0.45
2021-03-18,4.48,4.5,4.5,4.47,2920.0,0.22
2021-03-19,4.49,4.48,4.49,4.48,8900.0,0.22
2021-03-25,4.48,4.49,4.49,4.41,8520.0,-0.22
2021-03-26,4.47,4.5,4.5,4.47,8930.0,-0.22
2021-03-29,4.5,4.47,4.5,4.47,1320.0,0.67
2021-03-30,4.5,4.5,4.5,4.5,1790.0,0.0
2021-03-31,4.5,4.5,4.5,4.5,2060.0,0.0
2021-04-01,4.5,4.5,4.5,4.5,1370.0,0.0
2021-04-02,4.5,4.5,4.5,4.3,12220.0,0.0
2021-04-05,4.5,4.5,4.5,4.5,3320.0,0.0
2021-04-06,4.5,4.5,4.5,4.5,2810.0,0.0
2021-04-07,4.5,4.5,4.5,4.5,15320.0,0.0
2021-04-08,4.5,4.5,4.5,4.5,6540.0,0.0
2021-04-09,4.49,4.5,4.5,4.49,8380.0,-0.22
2021-04-12,4.5,4.49,4.5,4.49,12570.0,0.22
2021-04-13,4.5,4.5,4.5,4.5,280.0,0.0
2021-04-14,4.5,4.5,4.5,4.5,690.0,0.0
2021-04-15,4.5,4.5,4.5,4.5,3540.0,0.0
2021-04-16,4.5,4.5,4.5,4.5,760.0,0.0
2021-04-19,4.5,4.5,4.5,4.5,11320.0,0.0
2021-04-20,4.5,4.5,4.5,4.5,2310.0,0.0
2021-04-21,4.5,4.5,4.5,4.5,310.0,0.0
2021-04-22,4.5,4.5,4.5,4.5,1350.0,0.0
2021-04-23,4.5,4.5,4.5,4.5,1450.0,0.0
2021-04-26,4.5,4.5,4.5,4.5,2340.0,0.0
2021-04-27,4.5,4.5,4.5,4.5,680.0,0.0
2021-04-28,4.5,4.5,4.5,4.49,1010.0,0.0
2021-04-29,4.5,4.5,4.5,4.5,1010.0,0.0
2021-04-30,4.5,4.5,4.5,4.5,10100.0,0.0
