Date,Close,Open,High,Low,Volume,Change_pct
2021-01-05,212.13,215.64,215.64,211.0,41170.0,-1.63
2021-01-06,215.6,212.01,215.6,212.01,1490.0,1.64
2021-01-08,214.99,215.0,215.0,211.14,300.0,-0.28
2021-01-11,213.0,211.17,215.0,211.14,260.0,-0.93
2021-01-12,215.61,214.99,215.61,211.52,2730.0,1.23
2021-01-13,214.98,215.61,215.61,211.02,1650.0,-0.29
2021-01-14,214.8,213.1,214.99,211.53,8660.0,-0.08
2021-01-15,214.0,214.79,214.79,212.03,4070.0000000000005,-0.37
2021-01-18,214.0,214.0,214.5,212.02,1020.0,0.0
2021-01-19,210.9,214.1,214.1,210.21,2890.0,-1.45
2021-01-20,207.06,210.9,213.0,207.06,58360.0,-1.82
2021-01-21,206.2,209.0,211.6,206.1,90140.0,-0.42
2021-01-22,211.0,206.2,211.79,206.2,460.0,2.33
2021-01-25,209.19,211.7,211.7,206.0,58370.0,-0.86
2021-01-26,209.01,209.19,210.0,205.81,59930.0,-0.09
2021-01-27,209.17,209.1,210.0,206.1,1290.0,0.08
2021-01-28,205.84,206.11,210.0,205.84,230.0,-1.59
2021-01-29,210.0,205.87,210.0,205.87,130.0,2.02
2021-02-01,207.0,210.0,211.0,206.0,150.0,-1.43
2021-02-02,211.1,210.0,211.1,205.82,730.0,1.98
2021-02-03,210.0,211.0,211.25,210.0,28370.0,-0.52
2021-02-04,211.2,210.0,211.2,210.0,270.0,0.57
2021-02-05,211.0,211.2,211.2,210.0,1490.0,-0.09
2021-02-08,210.9,211.0,211.25,210.0,260.0,-0.05
2021-02-09,211.24,211.0,211.25,210.0,640.0,0.16
2021-02-10,211.2,207.1,211.24,207.1,270.0,-0.02
2021-02-11,207.95,211.2,211.2,207.01,380.0,-1.54
2021-02-12,207.1,208.1,211.2,207.0,2270.0,-0.41
2021-02-15,207.2,208.0,211.17,207.0,780.0,0.05
2021-02-16,211.0,207.2,211.17,207.2,264250.0,1.83
2021-02-17,209.0,211.0,211.15,209.0,550.0,-0.95
2021-02-18,211.16,211.0,211.16,209.0,21290.0,1.03
2021-02-19,211.15,211.15,211.15,209.0,590.0,0.0
2021-02-22,209.0,210.0,211.16,207.0,3120.0,-1.02
2021-02-23,211.16,209.0,211.16,207.01,161750.0,1.03
2021-02-24,213.0,211.16,213.21,209.0,7790.0,0.87
2021-02-25,214.0,213.0,214.24,211.51,70560.0,0.47
2021-02-26,214.0,213.22,214.0,212.0,6510.0,0.0
2021-03-01,213.22,212.0,213.22,211.51,25400.0,-0.36
2021-03-02,211.2,211.51,215.0,208.01,87940.0,-0.95
2021-03-03,217.0,213.22,217.0,212.0,686370.0,2.75
2021-03-04,220.16,216.3,220.16,212.1,111500.0,1.46
2021-03-05,218.0,216.3,220.16,215.3,89780.0,-0.98
2021-03-09,216.0,218.0,220.0,214.2,312190.0,-0.92
2021-03-10,216.0,216.0,219.99,215.0,8130.000000000001,0.0
2021-03-11,216.0,217.5,219.99,216.0,3710.0,0.0
2021-03-12,218.0,217.0,220.5,217.0,70650.0,0.93
2021-03-15,219.99,218.0,223.61,217.8,132850.0,0.91
2021-03-16,225.0,220.0,226.6,217.9,1030000.0,2.28
2021-03-17,222.01,225.0,226.6,222.0,2570.0,-1.33
2021-03-18,225.99,223.0,226.5,222.01,480.0,1.79
2021-03-19,225.0,225.05,226.5,221.0,3660.0,-0.44
2021-03-25,221.0,226.0,227.63,221.0,94520.0,-1.78
2021-03-26,227.0,226.09,230.0,223.0,123950.0,2.71
2021-03-29,232.78,229.18,235.87,228.0,117550.0,2.55
2021-03-30,236.9,232.78,236.9,232.78,36900.0,1.77
2021-03-31,235.6,236.9,236.9,233.0,5360.0,-0.55
2021-04-01,236.0,235.0,236.9,234.5,1670.0,0.17
2021-04-02,235.0,236.0,236.9,233.0,24390.0,-0.42
2021-04-05,236.0,235.0,236.9,232.0,3290.0,0.43
2021-04-06,233.51,236.0,236.0,233.0,230.0,-1.06
2021-04-07,236.88,233.51,236.9,232.5,5320.0,1.44
2021-04-08,235.0,236.88,236.9,234.0,222650.0,-0.79
2021-04-09,235.0,235.0,236.0,230.05,2000000.0,0.0
2021-04-12,232.17,235.0,235.0,232.0,1660.0,-1.2
2021-04-13,234.0,234.0,235.0,230.5,4110.0,0.79
2021-04-14,236.87,234.5,236.9,233.5,1350000.0,1.23
2021-04-15,235.49,236.0,236.86,232.0,2270.0,-0.58
2021-04-16,234.0,235.0,235.36,232.0,880.0,-0.63
2021-04-19,232.01,234.0,234.49,232.0,1510.0,-0.85
2021-04-20,233.0,233.0,233.99,232.0,1960.0,0.43
2021-04-21,233.0,233.0,236.85,232.0,653190.0,0.0
2021-04-22,236.0,233.0,236.87,233.0,691260.0,1.29
2021-04-23,234.5,234.5,234.5,232.11,250.0,-0.64
2021-04-26,231.11,234.0,234.5,230.5,30070.0,-1.45
2021-04-27,231.0,231.0,234.46,231.0,600.0,-0.05
2021-04-28,233.99,231.0,234.46,231.0,720.0,1.29
2021-04-29,233.5,233.99,234.0,232.0,2320.0,-0.21
2021-04-30,232.2,232.0,232.5,232.0,150.0,-0.56
2021-05-04,230.6,233.1,233.5,230.6,510.0,-0.69
2021-05-05,233.5,230.8,233.56,230.8,34890.0,1.26
2021-05-06,234.46,233.5,234.46,231.02,600.0,0.41
2021-05-11,235.5,234.46,236.0,233.5,7920.0,0.44
2021-05-12,240.0,235.5,240.0,235.5,111070.0,1.91
2021-05-13,246.77,241.0,247.0,241.0,25880.0,2.82
2021-05-14,247.0,246.77,247.0,244.44,4670.0,0.09
2021-05-17,251.29,247.0,251.32,247.0,61100.0,1.74
2021-05-18,254.0,251.32,254.41,251.32,63530.0,1.08
2021-05-19,253.5,254.0,255.44,253.5,7120.0,-0.2
2021-05-20,253.0,253.0,253.5,252.0,210.0,-0.2
2021-05-21,251.32,253.0,253.5,240.0,203510.0,-0.66
2021-05-24,251.31,251.32,251.32,245.0,20240.0,0.0
2021-05-25,246.0,249.99,249.99,246.0,3020.0,-2.11
2021-05-26,249.5,247.31,249.99,246.01,200320.0,1.42
2021-05-27,249.0,249.5,249.99,246.0,2400.0,-0.2
2021-05-28,250.0,249.82,250.0,246.0,510.0,0.4
2021-05-31,249.99,250.0,251.0,249.9,310.0,0.0
2021-06-01,246.25,249.0,249.99,246.12,1100.0,-1.5
2021-06-02,250.0,247.0,250.0,247.0,240550.0,1.52
