Date,Close,Open,High,Low,Volume,Change_pct
2021-01-05,2711.65,2675.59,2721.84,2670.95,,1.35
2021-01-06,2718.29,2711.65,2730.17,2697.01,,0.24
2021-01-08,2781.36,2718.93,2813.3,2718.93,,2.32
2021-01-11,2793.58,2781.39,2809.45,2779.96,,0.44
2021-01-12,2812.93,2793.58,2818.66,2778.36,,0.69
2021-01-13,2804.77,2812.96,2817.31,2789.35,,-0.29
2021-01-14,2857.71,2803.89,2860.32,2803.89,,1.89
2021-01-15,2849.54,2858.01,2872.44,2844.74,,-0.29
2021-01-18,2832.16,2848.22,2853.39,2823.23,,-0.61
2021-01-19,2815.12,2831.64,2832.54,2785.58,,-0.6
2021-01-20,2796.72,2815.08,2847.48,2782.16,,-0.65
2021-01-21,2822.04,2797.34,2840.64,2797.02,,0.91
2021-01-22,2813.86,2818.67,2832.79,2796.34,,-0.29
2021-01-25,2817.99,2814.33,2826.1,2793.06,,0.15
2021-01-26,2796.75,2817.99,2825.11,2784.77,,-0.75
2021-01-27,2811.98,2796.75,2833.33,2787.86,,0.54
2021-01-28,2793.99,2811.98,2830.54,2775.83,,-0.64
2021-01-29,2799.92,2794.0,2801.9,2775.71,,0.21
2021-02-01,2791.22,2800.62,2805.53,2782.16,,-0.31
2021-02-02,2811.98,2791.22,2816.15,2782.37,,0.74
2021-02-03,2797.93,2812.37,2828.27,2776.45,,-0.5
2021-02-04,2816.92,2798.12,2833.17,2789.8,,0.68
2021-02-05,2857.78,2819.68,2865.21,2810.44,,1.45
2021-02-08,2856.69,2857.78,2874.16,2816.53,,-0.04
2021-02-09,2844.72,2862.59,2876.23,2811.28,,-0.42
2021-02-10,2848.87,2847.48,2870.57,2828.99,,0.15
2021-02-11,2860.26,2847.99,2860.5,2830.57,,0.4
2021-02-12,2858.41,2858.86,2874.44,2845.42,,-0.06
2021-02-15,2888.7,2858.41,2895.24,2841.16,,1.06
2021-02-16,2946.07,2888.44,2955.19,2888.44,,1.99
2021-02-17,2984.72,2946.07,2989.64,2940.73,,1.31
2021-02-18,2976.56,2984.64,2995.5,2966.51,,-0.27
2021-02-19,2956.63,2977.59,2977.59,2928.85,,-0.67
2021-02-22,2962.75,2961.16,2988.89,2948.35,,0.21
2021-02-23,2972.33,2962.75,3000.45,2962.75,,0.32
2021-02-24,2973.63,2972.33,2986.7,2962.23,,0.04
2021-02-25,2964.2,2973.7,2986.35,2950.78,,-0.32
