Date,Close,Open,High,Low,Volume,Change_pct
2021-01-04,421.44,421.44,421.44,421.44,,0.0
2021-01-05,421.54,421.44,422.255,420.925,15280.0,0.02
2021-01-06,419.19,421.54,421.54,418.575,15850.0,-0.56
2021-01-07,419.19,419.19,419.19,419.19,,0.0
2021-01-08,419.24,419.19,420.29,418.24,13220.0,0.01
2021-01-11,419.79,419.24,419.99,419.24,16190.000000000002,0.13
2021-01-12,419.94,419.79,420.83,419.55,16090.0,0.04
2021-01-13,419.09,419.94,419.94,418.6,16129.999999999998,-0.2
2021-01-14,419.84,419.09,420.39,419.09,15740.0,0.18
2021-01-15,419.29,419.84,419.94,419.19,16100.000000000002,-0.13
2021-01-18,420.79,419.29,421.255,419.29,16610.0,0.36
2021-01-19,419.94,420.79,420.94,419.84,16160.0,-0.2
2021-01-20,418.99,419.94,420.21,418.175,16020.0,-0.23
2021-01-21,418.94,418.99,419.19,418.29,16950.0,-0.01
2021-01-22,420.74,418.64,420.74,418.64,17190.0,0.43
2021-01-25,420.89,420.74,421.09,420.49,15240.0,0.04
2021-01-26,422.34,420.89,422.99,420.89,16210.0,0.34
2021-01-27,422.29,422.34,422.64,421.84,15930.0,-0.01
2021-01-28,424.14,422.29,424.79,422.29,14010.0,0.44
2021-01-29,423.94,424.14,425.14,423.94,16270.0,-0.05
2021-02-01,424.44,423.44,425.23,423.44,15690.0,0.12
2021-02-02,423.44,424.44,424.44,423.44,16700.0,-0.24
2021-02-03,423.44,423.44,423.84,423.24,15910.0,0.0
2021-02-04,422.09,423.44,423.44,421.54,15780.0,-0.32
2021-02-05,420.49,422.09,422.09,419.84,16390.0,-0.38
2021-02-08,418.79,420.49,420.49,418.225,16030.000000000002,-0.4
2021-02-09,418.54,418.79,419.005,417.39,17460.0,-0.06
2021-02-10,417.74,418.54,418.555,417.075,15450.0,-0.19
2021-02-11,418.34,417.74,418.805,417.44,17560.0,0.14
2021-02-12,419.09,418.34,419.64,417.44,17070.0,0.18
2021-02-15,417.09,419.09,419.09,416.64,16690.0,-0.48
2021-02-16,416.94,417.09,417.09,416.54,17330.0,-0.04
2021-02-17,416.84,416.94,417.355,416.375,16350.000000000002,-0.02
2021-02-18,416.49,416.84,416.84,415.89,15420.0,-0.08
2021-02-19,417.44,416.49,418.69,416.49,16830.0,0.23
2021-02-22,416.89,417.44,417.44,415.89,15620.0,-0.13
2021-02-23,414.935,416.89,416.89,414.395,15850.0,-0.47
2021-02-24,415.435,414.935,416.23,414.845,15660.0,0.12
2021-02-25,415.185,415.435,415.78,414.395,15680.0,-0.06
2021-02-26,417.94,415.185,418.355,415.185,17460.0,0.66
2021-03-01,418.39,417.94,418.88,417.44,15870.0,0.11
2021-03-02,419.94,418.39,421.29,418.39,16610.0,0.37
2021-03-03,419.69,419.94,420.59,419.2,17110.0,-0.06
2021-03-04,420.24,419.69,420.98,419.54,16640.0,0.13
2021-03-05,419.99,420.24,420.605,419.45,16780.0,-0.06
2021-03-08,419.99,419.99,419.99,419.99,,0.0
2021-03-09,419.69,419.99,420.38,419.25,15700.0,-0.07
2021-03-10,420.14,419.69,420.93,419.5,17250.0,0.11
2021-03-11,419.45,420.14,420.21,418.835,16129.999999999998,-0.16
2021-03-12,419.11,419.52,419.52,418.44,16300.0,-0.08
2021-03-15,419.0,419.11,419.665,418.535,16420.0,-0.03
2021-03-16,418.95,419.15,419.73,418.325,17350.0,-0.01
2021-03-17,419.5,418.95,420.015,418.05,16670.0,0.13
2021-03-18,419.3,419.5,419.79,418.585,15480.0,-0.05
2021-03-19,421.0,419.3,422.055,419.3,15210.0,0.41
2021-03-22,421.0,421.0,421.0,421.0,,0.0
2021-03-23,421.0,421.0,421.0,421.0,,0.0
2021-03-24,421.0,421.0,421.0,421.0,,0.0
