Date,Close,Open,High,Low,Volume,Change_pct
2021-01-05,122.64,122.57,124.0,121.57,87210.0,-1.09
2021-01-06,122.6,122.64,122.7,121.65,162490.0,-0.03
2021-01-08,126.0,122.89,126.0,121.75,399060.0,2.77
2021-01-11,127.5,127.01,129.97,127.01,189690.0,1.19
2021-01-12,127.92,127.5,128.8,127.01,59530.0,0.33
2021-01-13,129.78,128.0,129.78,126.22,209010.0,1.45
2021-01-14,138.85,130.9,138.99,130.9,676960.0,6.99
2021-01-15,138.99,139.01,140.99,138.25,353270.0,0.1
2021-01-18,134.3,138.9,138.9,134.02,233970.0,-3.37
2021-01-19,136.05,134.31,137.99,129.0,6350000.0,1.3
2021-01-20,135.1,136.03,137.99,134.52,380630.0,-0.7
2021-01-21,134.35,135.0,136.0,134.0,259089.99999999997,-0.56
2021-01-22,132.5,134.29,134.29,130.23,164970.0,-1.38
2021-01-25,135.65,132.5,135.98,130.38,125850.0,2.38
2021-01-26,133.3,135.65,135.66,130.0,172450.0,-1.73
2021-01-27,134.49,133.0,134.5,132.2,109750.0,0.89
2021-01-28,132.48,134.05,134.05,130.15,148490.0,-1.49
2021-01-29,134.0,132.48,134.0,130.8,207180.0,1.15
2021-02-01,134.0,134.0,134.05,132.05,99950.0,0.0
2021-02-02,134.15,134.0,134.49,133.1,496110.0,0.11
2021-02-03,133.87,134.15,134.15,133.11,46850.0,-0.21
2021-02-04,133.8,133.14,134.0,133.14,95470.0,-0.05
2021-02-05,137.0,134.66,138.9,133.61,409900.0,2.39
2021-02-08,138.0,137.0,138.85,136.0,1800000.0,0.73
2021-02-09,137.1,138.0,138.49,136.0,170360.0,-0.65
2021-02-10,137.11,137.1,137.58,137.1,66100.0,0.01
2021-02-11,138.0,137.11,138.0,135.7,233300.0,0.65
2021-02-12,138.0,138.0,138.99,137.4,174080.0,0.0
2021-02-15,137.2,138.0,138.2,137.1,41130.0,-0.58
2021-02-16,139.39,138.7,140.36,138.0,159470.0,1.6
2021-02-17,144.8,142.71,144.9,142.0,258350.00000000003,3.88
2021-02-18,143.2,143.89,144.58,142.72,63610.0,-1.1
2021-02-19,141.4,141.6,143.1,138.11,189260.0,-1.26
2021-02-22,139.99,141.4,142.7,138.55,194140.0,-1.0
2021-02-23,139.42,140.78,142.3,138.9,317660.0,-0.41
2021-02-24,138.99,139.42,140.4,138.04,208120.0,-0.31
2021-02-25,139.05,138.98,140.2,138.03,110290.0,0.04
2021-02-26,138.0,139.05,139.8,136.0,105030.0,-0.76
2021-03-01,136.54,136.49,138.15,135.0,145620.0,-1.06
2021-03-02,137.1,136.06,139.2,136.06,445830.0,0.41
2021-03-03,137.34,137.0,137.95,137.0,351340.0,0.18
2021-03-04,136.0,137.5,137.67,135.57,608830.0,-0.98
2021-03-05,134.15,135.99,136.5,133.16,269780.0,-1.36
2021-03-09,135.42,135.0,139.05,133.33,440010.0,0.95
2021-03-10,137.9,135.61,138.0,135.61,15640.0,1.83
2021-03-11,137.0,137.1,137.85,136.0,107870.0,-0.65
2021-03-12,137.67,137.0,137.68,136.0,19360.0,0.49
2021-03-15,141.0,139.0,143.88,137.67,684780.0,2.42
2021-03-16,144.26,147.5,147.85,142.01,487750.0,2.31
2021-03-17,144.1,145.0,146.3,143.52,282920.0,-0.11
2021-03-18,147.0,148.55,149.9,145.36,295850.0,2.01
2021-03-19,151.0,147.51,151.0,145.32,4040000.0,2.72
2021-03-25,148.39,151.0,152.0,145.64,814930.0,-1.73
2021-03-26,148.17,147.01,148.8,147.01,627570.0,-0.15
2021-03-29,151.5,148.17,152.8,148.17,1060000.0,2.25
2021-03-30,150.97,151.5,151.8,150.07,114060.0,-0.35
2021-03-31,150.24,150.46,151.5,149.9,78040.0,-0.48
2021-04-01,152.0,150.24,152.5,150.19,99930.0,1.17
2021-04-02,152.74,152.0,152.94,151.11,270740.0,0.49
2021-04-05,152.72,152.74,152.93,151.6,312010.0,-0.01
2021-04-06,152.6,152.0,152.71,150.26,76500.0,-0.08
2021-04-07,152.75,152.6,153.0,151.71,145430.0,0.1
2021-04-08,154.0,152.75,155.0,152.37,195960.0,0.82
2021-04-09,153.0,154.0,154.99,152.01,98200.0,-0.65
2021-04-12,156.0,155.0,157.5,153.0,133020.0,1.96
2021-04-13,154.5,158.0,158.0,152.1,153410.0,-0.96
2021-04-14,155.59,154.53,156.47,153.32,512140.0,0.71
2021-04-15,155.48,155.59,156.0,154.0,93210.0,-0.07
2021-04-16,158.0,155.51,159.4,155.51,198270.0,1.62
2021-04-19,158.0,157.9,161.71,156.0,365580.0,0.0
2021-04-20,157.3,158.0,158.89,157.3,477590.0,-0.44
2021-04-21,157.45,157.2,158.84,156.51,270720.0,0.1
2021-04-22,149.0,152.9,152.9,116.95,1500000.0,-5.37
2021-04-23,146.8,144.5,148.5,144.5,188180.0,-1.48
2021-04-26,148.92,147.8,155.0,147.8,144460.0,1.44
2021-04-27,148.0,148.92,149.7,146.8,158930.0,-0.62
2021-04-28,149.0,148.0,149.2,147.3,521510.0,0.68
2021-04-29,152.0,148.99,152.0,147.28,266030.0,2.01
2021-04-30,153.0,152.2,153.99,149.2,223220.0,0.66
2021-05-04,153.5,153.0,153.5,150.07,146800.0,0.33
2021-05-05,153.0,153.3,153.5,150.15,97110.0,-0.33
2021-05-06,153.0,153.0,153.3,151.1,54450.0,0.0
2021-05-11,156.3,153.41,156.3,151.76,399770.0,2.16
2021-05-12,155.9,156.3,157.49,154.43,110040.0,-0.26
2021-05-13,154.0,155.9,156.5,153.5,81380.0,-1.22
2021-05-14,153.0,154.0,154.89,151.5,302790.0,-0.65
2021-05-17,153.77,153.0,153.77,151.63,205510.0,0.5
2021-05-18,153.25,153.5,154.99,152.0,289930.0,-0.34
2021-05-19,154.1,153.25,155.3,152.51,53570.0,0.55
2021-05-20,154.0,154.0,155.3,154.0,494390.0,-0.06
2021-05-21,156.97,154.56,156.97,154.56,112800.0,1.93
2021-05-24,160.0,158.0,160.99,157.15,688160.0,1.93
2021-05-25,162.06,160.0,164.0,159.45,407290.0,1.29
2021-05-26,163.05,162.06,163.77,160.04,259050.0,0.61
2021-05-27,162.0,163.05,163.77,159.61,201410.0,-0.64
2021-05-28,168.9,163.53,169.74,163.01,725540.0,4.26
2021-05-31,170.5,168.9,172.0,168.0,83620.0,0.95
2021-06-01,168.99,170.5,172.0,168.04,77940.0,-0.89
2021-06-02,169.0,168.85,169.49,165.0,275880.0,0.01
2021-06-03,169.0,169.0,170.43,168.11,158170.0,0.0
2021-06-04,170.9,170.0,171.99,169.11,124880.0,1.12
2021-06-07,171.54,171.0,172.0,169.0,149120.0,0.37
2021-06-08,175.0,171.5,175.0,171.49,591270.0,2.02
2021-06-09,175.0,175.0,176.49,172.0,65680.0,0.0
2021-06-10,176.0,175.98,176.49,175.0,38700.0,0.57
2021-06-11,172.02,175.49,175.49,150.0,452350.0,-2.26
2021-06-14,170.85,172.02,173.0,170.52,6810.0,-0.68
2021-06-15,171.0,171.8,172.9,170.12,42680.0,0.09
2021-06-16,171.0,171.0,171.37,170.15,23800.0,0.0
2021-06-17,169.6,171.0,171.32,168.25,155370.0,-0.82
2021-06-18,167.0,167.99,167.99,164.0,96790.0,-1.53
2021-06-21,169.0,166.99,169.15,163.11,102400.0,1.2
2021-06-22,169.5,169.0,170.5,167.11,54130.0,0.3
2021-06-23,170.0,170.0,170.5,167.0,115320.0,0.29
2021-06-24,170.0,170.0,171.5,169.0,155190.0,0.0
2021-06-25,168.7,170.0,171.5,168.0,72230.0,-0.76
2021-06-28,170.0,168.7,170.7,168.7,33550.0,0.77
2021-06-29,166.0,169.95,170.0,165.0,68310.0,-2.35
2021-06-30,167.99,166.0,168.0,166.0,13130.0,1.2
2021-07-01,167.76,168.0,169.0,167.74,504840.0,-0.14
2021-07-02,168.2,167.76,168.84,167.0,25420.0,0.26
2021-07-03,168.0,168.2,168.2,167.33,3220.0,-0.12
2021-07-07,167.98,166.86,168.2,166.75,18660.0,-0.01
2021-07-08,167.0,167.98,168.0,164.0,42890.0,-0.58
2021-07-09,164.4,166.34,166.34,161.76,84210.0,-1.56
2021-07-12,160.26,164.4,166.8,160.25,1280000.0,-2.52
2021-07-13,161.0,160.27,162.99,160.05,38750.0,0.46
2021-07-14,160.0,162.0,162.44,159.01,53320.0,-0.62
2021-07-15,160.0,160.0,161.47,156.8,645550.0,0.0
2021-07-16,163.01,160.09,163.49,160.05,37880.0,1.88
2021-07-19,161.0,162.75,162.75,160.05,48710.0,-1.23
2021-07-21,161.5,161.0,163.22,160.09,37980.0,0.31
2021-07-22,161.1,161.51,161.85,155.0,450140.0,-0.25
2021-07-23,159.99,161.1,161.15,159.0,54520.0,-0.69
2021-07-26,160.77,159.0,162.49,158.9,102810.0,0.49
2021-07-27,160.99,161.0,163.0,160.0,54490.0,0.14
2021-07-28,161.02,160.99,162.0,159.1,39910.0,0.02
2021-07-29,161.8,161.02,162.0,160.05,48500.0,0.48
2021-07-30,162.5,161.8,162.98,161.03,10500.0,0.43
2021-08-02,160.81,162.5,162.5,160.72,17460.0,-1.04
2021-08-03,160.9,160.81,162.85,160.75,23320.0,0.06
2021-08-04,161.0,160.9,161.49,160.52,7710.0,0.06
2021-08-05,161.68,161.0,161.8,160.6,30910.0,0.42
2021-08-06,162.7,161.0,162.97,160.8,14180.0,0.63
2021-08-09,164.4,163.0,164.5,161.57,111870.0,1.04
2021-08-10,163.0,163.9,163.9,161.9,86530.0,-0.85
2021-08-11,162.16,163.0,163.4,162.0,31640.0,-0.52
2021-08-12,162.97,162.4,162.98,162.12,10660.0,0.5
2021-08-13,170.0,165.0,170.0,164.51,315780.0,4.31
2021-08-16,169.73,169.0,172.0,167.26,149930.0,-0.16
2021-08-17,170.5,169.73,171.0,169.61,77480.0,0.45
2021-08-18,170.0,169.0,171.0,168.76,145970.0,-0.29
2021-08-19,168.99,169.25,170.98,167.51,279470.0,-0.59
2021-08-20,170.0,168.99,170.0,162.0,4470000.0,0.6
2021-08-23,173.0,169.05,173.0,168.01,527410.0,1.76
2021-08-24,175.01,173.5,176.99,173.5,291390.0,1.16
2021-08-25,180.82,176.1,180.82,176.1,2580000.0,3.32
2021-08-26,180.0,180.82,181.0,179.55,217680.0,-0.45
2021-08-27,180.0,180.0,180.49,179.01,102950.0,0.0
2021-08-31,180.1,180.0,180.44,178.15,345620.0,0.06
2021-09-01,180.51,180.0,181.65,178.52,180080.0,0.23
2021-09-02,186.0,180.7,186.98,180.57,220980.0,3.04
2021-09-03,185.95,186.0,187.77,185.05,41680.0,-0.03
2021-09-06,185.0,185.6,185.95,184.02,33500.0,-0.51
2021-09-07,184.07,185.5,186.0,184.01,101670.0,-0.5
2021-09-08,186.0,184.07,186.0,184.05,19760.0,1.05
2021-09-09,186.6,185.95,187.3,183.5,684760.0,0.32
2021-09-10,186.0,186.6,188.0,185.25,108040.0,-0.32
2021-09-13,184.89,185.98,186.98,182.28,168050.0,-0.6
2021-09-14,185.1,184.0,185.1,183.1,40160.0,0.11
2021-09-15,183.5,185.4,186.0,182.5,122020.0,-0.86
2021-09-16,183.5,184.0,184.98,182.52,64730.00000000001,0.0
2021-09-17,184.94,183.5,185.0,182.5,23190.0,0.78
2021-09-20,183.37,184.9,184.94,181.0,209440.0,-0.85
2021-09-21,182.05,180.24,182.05,179.01,141210.0,-0.72
2021-09-22,183.96,182.4,184.4,182.4,13190.0,1.05
2021-09-23,183.5,183.96,184.3,182.55,62440.0,-0.25
2021-09-24,182.51,182.65,184.0,182.0,40040.0,-0.54
2021-09-27,182.02,182.51,184.0,181.7,7850.0,-0.27
2021-09-28,182.5,183.0,183.0,181.3,22790.0,0.26
2021-09-29,182.5,182.6,183.0,179.0,28300.0,0.0
2021-09-30,182.52,182.5,182.75,177.99,15750.0,0.01
2021-10-01,182.13,182.52,182.55,181.0,13800.0,-0.21
2021-10-04,182.55,182.13,182.55,180.02,41730.0,0.23
2021-10-05,182.7,182.0,182.7,181.02,67640.0,0.08
2021-10-06,183.15,182.7,183.2,181.6,21580.0,0.25
2021-10-07,181.5,183.0,183.0,181.0,58070.0,-0.9
2021-10-08,182.22,181.98,182.25,181.5,32310.000000000004,0.4
2021-10-11,183.4,182.34,183.49,181.5,60230.0,0.65
2021-10-12,193.63,184.65,193.63,184.65,209730.0,5.58
2021-10-13,196.06,193.7,196.99,193.63,52120.0,1.25
2021-10-14,197.0,196.5,197.95,196.0,38080.0,0.48
2021-10-15,195.99,196.0,196.99,194.9,73260.0,-0.51
2021-10-18,193.99,195.8,196.0,192.01,64440.0,-1.02
2021-10-19,195.56,194.2,195.95,194.2,66380.0,0.81
2021-10-20,196.0,195.82,196.0,195.2,58070.0,0.22
2021-10-21,196.0,195.99,196.0,195.51,23020.0,0.0
2021-10-22,195.49,196.0,196.0,190.79,92210.0,-0.26
