Date,Close,Open,High,Low,Volume,Change_pct
2021-01-05,2751.0,2760.0,2780.0,2750.0,25550.0,-0.33
2021-01-06,2760.0,2769.08,2770.0,2750.01,500.0,0.33
2021-01-08,2785.0,2815.54,2900.0,2785.0,2870.0,0.91
2021-01-11,2815.0,2790.0,2850.0,2781.0,4620.0,1.08
2021-01-12,2839.99,2863.0,2863.4,2810.0,60.0,0.89
2021-01-13,2840.0,2839.99,2840.0,2822.0,106380.0,0.0
2021-01-14,2839.98,2863.4,2863.4,2810.0,4080.0,0.0
2021-01-15,2830.0,2835.0,2840.0,2815.0,66480.0,-0.35
2021-01-18,2840.0,2815.0,2840.0,2815.0,10160.0,0.35
2021-01-19,2830.0,2840.0,2840.0,2815.01,5570.0,-0.35
2021-01-20,2830.0,2834.8,2839.0,2820.1,1330.0,0.0
2021-01-21,2840.0,2839.0,2840.0,2820.11,70.0,0.35
2021-01-22,2820.0,2830.0,2863.4,2820.0,40.0,-0.7
2021-01-25,2838.0,2840.0,2840.0,2815.0,2630.0,0.64
2021-01-26,2815.5,2827.0,2840.0,2815.0,90.0,-0.79
2021-01-27,2835.0,2815.5,2838.0,2815.5,80.0,0.69
2021-01-28,2817.0,2840.0,2840.0,2816.01,20.0,-0.63
2021-01-29,2839.9,2835.0,2839.9,2817.11,20.0,0.81
2021-02-01,2815.0,2831.66,2840.0,2815.0,1890.0,-0.88
2021-02-02,2690.0,2800.0,2884.0,2645.64,148490.0,-4.44
2021-02-03,2600.0,2724.99,2724.99,2550.02,6890.0,-3.35
2021-02-04,2560.0,2600.0,2600.0,2524.29,240.0,-1.54
2021-02-05,2560.0,2530.01,2605.01,2530.0,380.0,0.0
2021-02-08,2460.0,2475.99,2500.0,2403.88,1750.0,-3.91
2021-02-09,2470.0,2490.0,2500.0,2456.0,1450.0,0.41
2021-02-10,2543.99,2537.87,2609.98,2504.85,780.0,3.0
2021-02-11,2500.0,2544.0,2570.0,2490.0,3780.0,-1.73
2021-02-12,2510.0,2510.0,2510.0,2475.0,170.0,0.4
2021-02-15,2500.0,2510.0,2525.0,2475.0,8630.0,-0.4
2021-02-16,2518.97,2520.0,2520.0,2480.01,110.0,0.76
2021-02-17,2490.0,2500.0,2500.0,2480.01,1440.0,-1.15
2021-02-18,2510.0,2499.0,2519.99,2485.0,16600.0,0.8
2021-02-19,2498.0,2500.0,2519.99,2491.0,50740.0,-0.48
2021-02-22,2500.0,2519.99,2525.0,2498.0,150.0,0.08
2021-02-23,2500.0,2525.0,2525.0,2500.0,5560.0,0.0
2021-02-24,2480.0,2510.0,2525.0,2466.0,4019.9999999999995,-0.8
2021-02-25,2450.01,2480.0,2480.0,2437.77,440.0,-1.21
2021-02-26,2456.0,2480.0,2480.0,2427.21,560.0,0.24
2021-03-01,2478.18,2456.0,2478.18,2430.0,220.0,0.9
2021-03-02,2475.0,2478.18,2478.18,2440.0,4560.0,-0.13
2021-03-03,2379.3,2377.36,2441.1,2308.11,19070.0,-3.87
2021-03-04,2410.0,2379.3,2410.0,2309.71,31490.0,1.29
2021-03-05,2385.0,2369.0,2410.2,2309.71,18270.0,-1.04
2021-03-09,2419.0,2385.0,2419.0,2310.0,21870.0,1.43
2021-03-10,2417.0,2419.0,2419.0,2364.56,3070.0,-0.08
2021-03-11,2400.5,2419.0,2419.98,2378.65,17430.0,-0.68
2021-03-12,2379.0,2415.0,2415.0,2309.71,36560.0,-0.9
2021-03-15,2379.0,2361.01,2379.03,2331.0,260.0,0.0
2021-03-16,2379.02,2379.02,2379.03,2331.01,2430.0,0.0
2021-03-17,2380.0,2379.03,2384.0,2335.01,10480.0,0.04
2021-03-18,2379.0,2380.0,2380.0,2330.01,16780.0,-0.04
2021-03-19,2370.0,2378.0,2379.5,2300.0,42150.0,-0.38
2021-03-25,2379.0,2340.01,2390.0,2271.88,23820.0,0.38
2021-03-26,2390.0,2395.0,2400.0,2370.0,12630.0,0.46
2021-03-29,2390.0,2388.99,2400.0,2371.02,230.0,0.0
2021-03-30,2385.0,2390.0,2398.95,2330.11,361790.0,-0.21
2021-03-31,2398.0,2399.0,2399.0,2375.0,8430.0,0.55
2021-04-01,2398.0,2369.0,2398.75,2343.0,150.0,0.0
2021-04-02,2380.0,2397.98,2397.98,2380.0,3700.0,-0.75
2021-04-05,2397.0,2396.0,2399.89,2355.0,264920.0,0.71
2021-04-06,2400.0,2397.0,2419.98,2395.0,1570.0,0.13
2021-04-07,2419.0,2401.01,2420.0,2401.0,1610.0,0.79
2021-04-08,2406.0,2417.0,2430.0,2402.01,1660.0,-0.54
2021-04-09,2446.0,2430.0,2450.0,2400.0,1420.0,1.66
2021-04-12,2461.7,2446.0,2461.7,2435.0,1270.0,0.64
2021-04-13,2460.0,2461.7,2500.0,2457.0,3270.0,-0.07
2021-04-14,2473.0,2461.0,2499.0,2460.0,1360.0,0.53
2021-04-15,2498.5,2499.0,2499.0,2473.0,1500.0,1.03
2021-04-16,2478.02,2498.5,2499.0,2472.0,1500.0,-0.82
2021-04-19,2499.0,2478.02,2520.0,2478.0,1540.0,0.85
2021-04-20,2541.0,2499.0,2550.0,2466.0,84100.0,1.68
2021-04-21,2549.85,2541.0,2549.85,2480.0,3700.0,0.35
2021-04-22,2540.2,2540.0,2549.0,2500.0,6980.0,-0.38
2021-04-23,2535.0,2540.2,2545.0,2492.87,7490.0,-0.2
2021-04-26,2549.0,2535.0,2549.0,2500.0,1370.0,0.55
2021-04-27,2541.0,2547.6,2549.0,2511.11,10200.0,-0.31
2021-04-28,2538.0,2541.01,2549.0,2519.1,2800.0,-0.12
2021-04-29,2530.0,2540.0,2545.0,2511.12,2570.0,-0.32
2021-04-30,2541.0,2548.8,2549.0,2512.0,3870.0,0.43
2021-05-04,2547.8,2541.0,2549.0,2511.24,2410.0,0.27
2021-05-05,2536.0,2549.0,2549.0,2512.11,49940.0,-0.46
2021-05-06,2520.0,2538.88,2549.84,2512.06,36890.0,-0.63
