Date,Close,Open,High,Low,Volume,Change_pct
2021-01-05,291.11,291.11,298.7,291.11,0.0,-2.54
2021-01-06,298.7,298.7,298.7,298.7,40.0,2.61
2021-01-13,298.7,298.7,298.7,298.7,20.0,0.0
2021-01-19,297.0,297.0,297.0,297.0,10.0,-0.57
2021-01-27,290.0,290.03,290.03,290.0,20.0,-2.36
2021-02-02,298.7,298.7,298.7,298.7,0.0,3.0
2021-02-04,298.7,298.55,298.7,298.55,10.0,0.0
2021-02-05,298.7,290.05,298.7,290.05,0.0,0.0
2021-02-08,298.7,298.7,298.7,298.7,0.0,0.0
2021-02-10,298.0,298.0,298.0,298.0,0.0,-0.23
2021-02-18,298.7,298.0,298.7,298.0,10.0,0.23
2021-02-26,298.7,298.7,298.7,298.7,10.0,0.0
2021-03-03,298.7,298.7,298.7,298.7,0.0,0.0
2021-03-04,298.7,298.7,298.7,298.7,0.0,0.0
2021-03-10,298.7,298.7,298.7,298.7,0.0,0.0
2021-03-12,298.7,298.7,298.7,298.7,0.0,0.0
2021-03-18,290.51,290.51,290.51,290.51,0.0,-2.74
2021-03-26,298.7,298.69,298.7,298.69,30.0,2.82
2021-03-29,298.65,298.7,298.7,298.65,10.0,-0.02
2021-03-30,298.7,298.65,298.7,298.65,0.0,0.02
2021-03-31,290.72,290.72,290.72,290.72,10.0,-2.67
2021-04-01,298.69,298.69,298.69,298.69,0.0,2.74
2021-04-02,298.7,298.69,298.7,298.69,80.0,0.0
2021-04-06,298.7,298.7,298.7,291.3,10.0,0.0
2021-04-08,298.6,291.3,298.6,291.3,0.0,-0.03
2021-04-23,298.7,298.7,298.7,298.7,0.0,0.03
2021-04-27,291.7,291.7,291.7,291.7,90.0,-2.34
2021-04-29,298.7,298.7,298.7,298.7,0.0,2.4
2021-04-30,298.7,298.7,298.7,298.7,0.0,0.0
2021-05-04,298.7,298.7,298.7,298.7,0.0,0.0
2021-05-11,298.7,298.7,298.7,298.7,10.0,0.0
2021-05-14,295.0,298.7,298.7,295.0,50.0,-1.24
2021-05-17,298.7,298.7,298.7,298.7,0.0,1.25
2021-05-18,298.7,298.7,298.7,298.7,10.0,0.0
2021-05-19,298.7,298.7,298.7,298.7,0.0,0.0
2021-05-21,298.7,298.7,298.7,298.7,0.0,0.0
2021-05-25,298.7,298.7,298.7,298.7,10.0,0.0
2021-06-04,298.7,298.7,298.7,298.7,10.0,0.0
2021-06-07,298.7,298.7,298.7,298.7,0.0,0.0
2021-06-08,298.7,298.7,298.7,298.7,0.0,0.0
2021-06-09,298.7,298.7,298.7,298.7,0.0,0.0
2021-06-11,298.7,298.7,298.7,298.7,10.0,0.0
2021-06-14,298.7,298.7,298.7,298.7,30.0,0.0
2021-06-15,298.7,298.7,298.7,298.7,20.0,0.0
2021-06-16,298.7,298.7,298.7,298.7,100.0,0.0
2021-06-22,298.7,298.7,298.7,298.7,20.0,0.0
