Date,Close,Open,High,Low,Volume,Change_pct
2021-01-05,1700.0,1700.0,1700.0,1695.0,480.0,0.18
2021-01-06,1699.0,1700.0,1700.0,1695.01,560.0,-0.06
2021-01-08,1700.0,1700.0,1701.0,1690.0,1960.0,0.06
2021-01-11,1701.0,1700.0,1701.0,1685.0,630.0,0.06
2021-01-12,1697.99,1701.0,1701.0,1685.5,2850.0,-0.18
2021-01-13,1698.0,1698.0,1701.83,1686.03,2130.0,0.0
2021-01-14,1699.89,1699.0,1699.9,1687.21,630.0,0.11
2021-01-15,1698.97,1699.9,1699.9,1690.02,770.0,-0.05
2021-01-18,1699.0,1692.01,1699.0,1692.0,1120.0,0.0
2021-01-19,1700.79,1699.0,1701.83,1692.04,1110.0,0.11
2021-01-20,1692.0,1700.79,1701.8,1692.0,520.0,-0.52
2021-01-21,1699.99,1701.76,1701.76,1692.0,710.0,0.47
2021-01-22,1693.0,1692.02,1699.7,1690.05,750.0,-0.41
2021-01-25,1690.0,1693.0,1693.0,1687.01,1890.0,-0.18
2021-01-26,1693.0,1690.0,1693.0,1687.0,630.0,0.18
2021-01-27,1685.0,1693.0,1699.0,1685.0,122170.0,-0.47
2021-01-28,1692.51,1685.0,1693.0,1685.0,360.0,0.45
2021-01-29,1690.0,1686.0,1693.0,1685.0,1630.0,-0.15
2021-02-01,1685.21,1693.0,1694.0,1685.0,3920.0,-0.28
2021-02-02,1689.99,1691.78,1692.0,1677.46,1180.0,0.28
2021-02-03,1693.0,1686.0,1693.0,1678.21,8770.0,0.18
2021-02-04,1685.12,1694.0,1694.23,1680.0,1700.0,-0.47
2021-02-05,1691.9,1692.98,1694.0,1680.1,720.0,0.4
2021-02-08,1680.1,1691.9,1691.9,1680.1,940.0,-0.7
2021-02-09,1681.7,1689.99,1691.0,1680.5,1780.0,0.1
2021-02-10,1689.9,1681.7,1689.9,1680.15,1260.0,0.49
2021-02-11,1680.0,1685.0,1685.0,1677.46,2530.0,-0.59
2021-02-12,1684.9,1681.4,1685.0,1677.46,750.0,0.29
2021-02-15,1682.0,1684.9,1684.9,1677.47,1420.0,-0.17
2021-02-16,1680.0,1682.8,1684.0,1677.47,1200.0,-0.12
2021-02-17,1682.0,1682.95,1684.5,1678.0,1160.0,0.12
2021-02-18,1686.8,1679.0,1690.0,1678.0,1540.0,0.29
2021-02-19,1684.9,1686.99,1690.0,1678.2,740.0,-0.11
2021-02-22,1680.0,1678.3,1694.21,1678.2,680.0,-0.29
2021-02-23,1686.99,1686.99,1692.0,1680.0,860.0,0.42
