Date,Close,Open,High,Low,Volume,Change_pct
2021-01-05,7587.0,7250.01,7587.0,7250.0,290.0,6.11
2021-01-06,7549.0,7586.0,7586.0,7405.0,200.0,-0.5
2021-01-08,8000.0,7660.2,8400.0,7660.2,1020.0,5.97
2021-01-11,8050.0,8145.0,8145.0,8000.0,170.0,0.63
2021-01-12,8100.0,8051.0,8180.0,8020.0,560.0,0.62
2021-01-13,8000.0,8100.0,8100.0,7805.0,450.0,-1.23
2021-01-14,7995.0,7998.0,8149.99,7995.0,220.0,-0.06
2021-01-15,7900.0,8000.0,8090.0,7900.0,270.0,-1.19
2021-01-18,7750.02,7960.0,7995.0,7745.01,430.0,-1.9
2021-01-19,7710.0,7799.99,7820.0,7700.01,80.0,-0.52
2021-01-20,7510.0,7705.05,7938.0,7400.0,720.0,-2.59
2021-01-21,7687.0,7600.0,7937.0,7300.12,1060.0,2.36
2021-01-22,7650.0,7678.0,7681.0,7452.03,240.0,-0.48
2021-01-25,7625.0,7600.0,7677.0,7501.0,210.0,-0.33
2021-01-26,7560.0,7624.9,7625.0,7457.0,280.0,-0.85
2021-01-27,7605.0,7506.0,7850.0,7506.0,190.0,0.6
2021-01-28,7699.0,7798.0,7850.0,7500.0,740.0,1.24
2021-01-29,7499.99,7699.0,7699.0,7430.01,690.0,-2.58
2021-02-01,7580.0,7497.0,7580.0,7350.0,120.0,1.07
2021-02-02,7829.0,7601.0,7840.0,7601.0,1290.0,3.28
2021-02-03,7790.0,7710.12,7819.99,7620.0,390.0,-0.5
2021-02-04,7993.64,7819.99,7993.65,7799.0,300.0,2.61
2021-02-05,7906.0,7993.69,8000.0,7901.0,260.0,-1.1
2021-02-08,7930.0,7906.0,8000.0,7720.0,240.0,0.3
2021-02-09,7958.95,7930.0,7960.0,7825.0,490.0,0.37
2021-02-10,7750.0,7958.96,7958.96,7742.01,260.0,-2.63
2021-02-11,7990.0,7848.0,7995.0,7776.0,1210.0,3.1
2021-02-12,8061.0,8000.0,8187.9,7997.02,1610.0,0.89
