Date,Close,Open,High,Low,Volume,Change_pct
2021-01-05,985.06,970.01,999.0,969.05,36230.0,1.55
2021-01-06,986.5,996.0,998.89,985.0,13270.0,0.15
2021-01-08,994.88,989.5,999.0,986.26,18750.0,0.85
2021-01-11,994.04,995.01,999.0,990.3,11880.0,-0.08
2021-01-12,1025.0,998.79,1030.0,994.04,22630.0,3.11
2021-01-13,1033.0,1024.99,1039.99,1006.0,26690.0,0.78
2021-01-14,1043.99,1036.5,1049.97,1030.12,13470.0,1.06
2021-01-15,1049.97,1040.0,1049.98,1037.2,4970.0,0.57
2021-01-18,1044.99,1045.0,1050.0,1040.0,6560.0,-0.47
2021-01-19,1027.21,1043.0,1043.0,1020.0,24050.0,-1.7
2021-01-20,1001.0,1028.01,1034.0,981.02,52240.0,-2.55
2021-01-21,998.0,1002.0,1005.0,990.0,11370.0,-0.3
2021-01-22,996.99,992.99,1004.88,989.5,21890.0,-0.1
2021-01-25,994.49,996.99,996.99,988.02,10230.0,-0.25
2021-01-26,1000.0,994.45,1003.98,988.06,14120.0,0.55
2021-01-27,999.96,1000.0,1003.69,995.02,3770.0,0.0
2021-01-28,989.99,999.97,999.97,985.0,14420.0,-1.0
2021-01-29,996.0,985.15,996.0,980.0,16170.000000000002,0.61
2021-02-01,987.02,994.99,996.9,981.62,2090.0,-0.9
2021-02-02,992.58,994.83,994.83,987.03,1150.0,0.56
2021-02-03,993.19,993.99,994.83,990.0,12160.0,0.06
2021-02-04,987.65,993.19,996.9,970.0,14400.0,-0.56
2021-02-05,990.01,988.65,998.46,988.0,3930.0,0.24
2021-02-08,993.0,991.0,999.1,944.4,27800.0,0.3
2021-02-09,992.0,992.0,994.0,971.0,11750.0,-0.1
2021-02-10,995.99,991.99,999.1,985.0,10890.0,0.4
2021-02-11,1003.89,992.2,1003.99,992.0,17050.0,0.79
2021-02-12,1002.5,1003.89,1003.99,992.0,15720.0,-0.14
2021-02-15,1001.08,1000.0,1006.89,1000.0,7970.0,-0.14
2021-02-16,1019.99,1001.06,1027.0,1001.06,12550.0,1.89
2021-02-17,1017.0,1016.01,1022.99,1013.1,3890.0,-0.29
2021-02-18,1023.99,1017.0,1030.0,1014.2,25410.0,0.69
2021-02-19,1017.0,1025.0,1025.0,1013.4,7740.0,-0.68
2021-02-22,1010.0,1017.0,1017.5,967.0,422170.0,-0.69
2021-02-23,1016.0,1013.4,1017.0,1005.0,8250.0,0.59
2021-02-24,1015.0,1014.03,1019.49,1012.0,22430.0,-0.1
2021-02-25,1025.18,1015.0,1039.26,1013.01,18010.0,1.0
2021-02-26,1023.97,1025.0,1034.9,1003.0,15640.0,-0.12
2021-03-01,1022.99,1023.97,1024.0,1014.09,5920.0,-0.1
2021-03-02,1016.11,1021.99,1023.0,1015.08,6650.0,-0.67
2021-03-03,1024.0,1020.0,1024.0,1016.0,19730.0,0.78
2021-03-04,1020.11,1026.76,1030.0,1019.21,25690.0,-0.38
2021-03-05,1025.0,1029.8,1029.8,1020.0,3830.0,0.48
2021-03-09,1023.11,1025.0,1027.4,1020.31,4470.0,-0.18
2021-03-10,1035.0,1027.36,1035.0,1023.42,32100.0,1.16
2021-03-11,1038.01,1035.0,1045.49,1029.4,11490.0,0.29
2021-03-12,1054.0,1045.0,1055.75,1034.5,21540.0,1.54
2021-03-15,1071.96,1050.03,1089.2,1050.03,16870.0,1.7
2021-03-16,1077.84,1071.96,1077.99,1066.1,4770.0,0.55
2021-03-17,1095.0,1077.84,1099.0,1074.0,7060.0,1.59
2021-03-18,1142.0,1120.0,1145.0,1112.5,37440.0,4.29
2021-03-19,1123.95,1140.9,1140.9,1050.0,38690.0,-1.58
2021-03-25,1100.02,1118.0,1123.0,1090.0,9850.0,-2.13
2021-03-26,1100.0,1100.0,1122.7,1100.0,13770.0,0.0
2021-03-29,1106.96,1109.13,1116.0,1101.0,3420.0,0.63
2021-03-30,1109.99,1105.0,1109.99,1100.15,3500.0,0.27
2021-03-31,1117.0,1109.99,1120.0,1105.14,6220.0,0.63
2021-04-01,1120.0,1115.0,1120.0,1111.0,3700.0,0.27
2021-04-02,1118.49,1119.99,1119.99,1115.0,1920.0,-0.13
2021-04-05,1107.02,1116.22,1118.5,1100.0,8760.0,-1.03
2021-04-06,1117.0,1107.0,1122.68,1107.0,17830.0,0.9
2021-04-07,1106.0,1117.0,1117.0,1100.6,95120.0,-0.98
2021-04-08,1110.0,1106.0,1115.0,1100.61,10530.0,0.36
2021-04-09,1111.0,1110.0,1112.78,1106.83,8029.999999999999,0.09
2021-04-12,1116.99,1111.0,1116.99,1110.0,3190.0,0.54
2021-04-13,1118.99,1114.0,1120.0,1114.0,15060.0,0.18
2021-04-14,1117.96,1118.99,1121.99,1090.0,14210.0,-0.09
2021-04-15,1120.0,1117.96,1120.0,1111.0,4800.0,0.18
2021-04-16,1127.0,1120.0,1129.0,1114.05,13390.0,0.63
2021-04-19,1127.0,1127.0,1129.98,1115.2,4550.0,0.0
2021-04-20,1125.0,1123.67,1128.98,1119.2,5270.0,-0.18
2021-04-21,1119.2,1125.0,1126.0,1119.2,3610.0,-0.52
2021-04-22,1111.5,1119.2,1120.0,1111.12,15570.0,-0.69
2021-04-23,1120.0,1111.51,1130.0,1111.5,28880.0,0.76
2021-04-26,1120.01,1120.01,1125.0,1115.11,5740.0,0.0
2021-04-27,1124.97,1120.01,1125.0,1117.54,9910.0,0.44
2021-04-28,1127.31,1124.97,1129.0,1122.0,14240.0,0.21
2021-04-29,1132.69,1127.3,1132.69,1122.0,240530.0,0.48
2021-04-30,1129.99,1131.02,1132.7,1115.0,16110.0,-0.24
2021-05-04,1139.97,1139.99,1149.98,1127.0,36550.0,0.88
2021-05-05,1142.0,1139.97,1143.0,1130.13,16840.0,0.18
2021-05-06,1154.96,1143.0,1155.0,1140.01,10050.0,1.13
2021-05-11,1150.0,1155.0,1163.89,1150.0,29890.0,-0.43
2021-05-12,1190.0,1163.0,1193.9,1155.0,32370.0,3.48
2021-05-13,1170.0,1190.1,1205.0,1170.0,30570.0,-1.68
2021-05-14,1195.0,1180.0,1195.0,1170.01,18770.0,2.14
2021-05-17,1203.0,1194.99,1204.5,1194.0,11450.0,0.67
2021-05-18,1207.0,1203.02,1214.99,1202.52,16850.0,0.33
2021-05-19,1208.81,1207.0,1214.98,1181.0,107040.0,0.15
2021-05-20,1209.9,1208.0,1213.0,1203.01,7440.0,0.09
2021-05-21,1213.69,1209.91,1213.69,1207.05,31440.0,0.31
2021-05-24,1214.0,1213.69,1217.99,1208.52,38180.0,0.03
2021-05-25,1219.0,1216.5,1220.0,1214.71,4520.0,0.41
2021-05-26,1217.68,1217.01,1219.0,1200.01,25290.0,-0.11
2021-05-27,1214.16,1217.68,1218.0,1190.0,12550.0,-0.29
2021-05-28,1215.0,1215.0,1218.0,1206.02,10860.0,0.07
2021-05-31,1215.99,1215.0,1219.0,1206.02,6440.0,0.08
2021-06-01,1231.0,1217.0,1239.99,1217.0,22060.0,1.23
2021-06-02,1239.0,1231.0,1240.0,1229.0,18920.0,0.65
2021-06-03,1269.99,1239.0,1270.0,1238.2,32340.000000000004,2.5
2021-06-04,1272.0,1270.02,1279.0,1266.08,12990.0,0.16
2021-06-07,1273.9,1275.0,1290.0,1270.01,39920.0,0.15
2021-06-08,1268.9,1273.99,1274.0,1260.0,25420.0,-0.39
2021-06-09,1153.0,1155.0,1169.99,1130.0,49300.0,-9.13
2021-06-10,1187.0,1153.0,1190.0,1140.0,21710.0,2.95
2021-06-11,1155.0,1188.0,1189.0,1135.0,27410.0,-2.7
2021-06-14,1110.0,1154.77,1154.77,1105.0,22620.0,-3.9
2021-06-15,1093.98,1125.0,1125.0,1082.15,40120.0,-1.44
2021-06-16,1100.99,1094.99,1102.09,1091.01,11110.0,0.64
2021-06-17,1110.0,1102.0,1112.0,1090.08,8160.0,0.82
2021-06-18,1109.99,1109.99,1112.0,1105.0,4930.0,0.0
2021-06-21,1099.0,1107.0,1110.0,1090.11,10350.0,-0.99
2021-06-22,1109.0,1100.0,1110.0,1095.15,32660.0,0.91
2021-06-23,1107.0,1108.0,1110.0,1100.0,36320.0,-0.18
2021-06-24,1111.32,1109.0,1117.0,1107.22,24650.0,0.39
2021-06-25,1116.0,1116.49,1118.0,1111.31,12410.0,0.42
2021-06-28,1103.1,1120.4,1120.4,1050.0,49900.0,-1.16
2021-06-29,1102.0,1103.51,1110.99,1098.02,10800.0,-0.1
2021-06-30,1105.0,1102.0,1105.0,1098.01,8020.0,0.27
2021-07-01,1100.01,1105.0,1105.0,1097.0,8390.0,-0.45
2021-07-02,1097.5,1100.01,1116.65,1097.05,12870.0,-0.23
2021-07-07,1100.0,1108.46,1110.95,1097.51,4600.0,0.23
2021-07-08,1105.0,1100.0,1108.0,1097.05,13810.0,0.45
2021-07-09,1100.0,1105.0,1109.99,1097.0,20690.0,-0.45
2021-07-12,1057.0,1100.0,1109.97,1055.0,16320.0,-3.91
2021-07-13,1083.0,1060.0,1089.0,1057.0,20370.0,2.46
2021-07-14,1082.95,1096.79,1096.9,1070.0,5740.0,0.0
2021-07-15,1081.99,1087.9,1087.99,1070.0,3890.0,-0.09
2021-07-16,1096.0,1082.0,1096.0,1063.2,24300.0,1.29
2021-07-19,1083.01,1096.0,1100.0,1083.0,13020.0,-1.19
2021-07-21,1080.0,1090.0,1093.0,1072.0,5780.0,-0.28
2021-07-22,1089.67,1089.6,1089.68,1072.0,21140.0,0.9
2021-07-23,1089.0,1089.0,1089.0,1084.85,19030.0,-0.06
2021-07-26,1089.0,1089.0,1097.95,1085.0,7330.0,0.0
2021-07-27,1088.88,1088.0,1088.99,1084.85,11020.0,-0.01
2021-07-28,1088.82,1088.88,1088.92,1084.85,5720.0,-0.01
2021-07-29,1094.83,1088.82,1094.99,1084.85,4630.0,0.55
2021-07-30,1089.99,1092.9,1092.99,1084.85,8440.0,-0.44
2021-08-02,1084.0,1089.95,1089.95,1082.01,16920.0,-0.55
2021-08-03,1078.0,1080.0,1084.0,1070.1,5770.0,-0.55
2021-08-04,1082.8,1073.0,1083.89,1073.0,4560.0,0.45
2021-08-05,1079.0,1082.83,1082.85,1076.0,3260.0,-0.35
2021-08-06,1077.99,1076.0,1080.95,1075.0,4090.0,-0.09
2021-08-09,1068.0,1078.0,1079.0,1067.0,11800.0,-0.93
2021-08-10,1061.02,1068.0,1075.0,1050.0,4410.0,-0.65
2021-08-11,1069.0,1061.0,1074.25,1060.0,2890.0,0.75
